"cow","year","terrorinclead","terrorinc","totspendrevlog","transferslog","welfarelog","poplog","democ","govcap","conflict","govleft","tradelog","europe","africa","asia","america","gdppclog","totspendrevper","welfarepercent","transfersper"
651,1992,22,5,-1.02973937988281,-2.9622974395752,-2.36765718460083,17.8188400268555,-3,0.716099977493286,0,0,4.10861158370972,0,0,0,0,7.8815598487854,35.7099990844727,9.36999988555908,5.1700005531311
651,1993,20,22,-0.973125636577606,-3.00578260421753,-2.35704135894775,17.839599609375,-3,0.708557844161987,0,0,4.06719589233398,0,0,0,0,7.91095685958862,37.7900009155273,9.47000026702881,4.94999980926514
651,1994,7,20,-0.947781383991241,-2.89317560195923,-2.28868222236633,17.8596801757812,-3,0.710741937160492,0,0,3.93332576751709,0,0,0,0,7.93773221969604,38.7600021362305,10.1400003433228,5.54000043869019
651,1995,4,7,-1.32538735866547,-2.55876851081848,-2.08666753768921,17.8790493011475,-3,0.691126763820648,0,0,3.91104221343994,0,0,0,0,7.99125385284424,26.5700016021729,12.4099998474121,7.73999977111816
652,1975,3,3,-0.862039268016815,-3.58271932601929,-2.69859504699707,15.8221101760864,-9,0.620121657848358,0,0,4.03439092636108,0,0,0,0,6.87729597091675,42.2299995422363,6.73000001907349,2.77999973297119
652,1976,2,3,-1.00430262088776,-3.47054743766785,NA,15.8539695739746,-9,0.617019534111023,0,0,4.00590372085571,0,0,0,0,6.96319007873535,36.629997253418,NA,3.1100001335144
652,1977,0,2,-0.96233469247818,-3.23907852172852,NA,15.8844499588013,-9,0.580952823162079,0,0,4.09479856491089,0,0,0,0,6.95272922515869,38.2000007629395,NA,3.92000007629395
652,1978,2,0,-1.48412775993347,-4.42284870147705,NA,15.9146099090576,-9,0.600755393505096,0,0,3.85034990310669,0,0,0,0,7.07749795913696,22.6700000762939,NA,1.19999992847443
652,1979,8,2,-1.44349980354309,-3.8776216506958,NA,15.9459896087646,-9,0.519897401332855,0,0,4.0301308631897,0,0,0,0,7.1921820640564,23.6100006103516,NA,2.0699999332428
652,1980,5,8,-1.3152768611908,-3.15825128555298,-2.42701506614685,15.9792900085449,-9,0.580841362476349,0,0,4.00292682647705,0,0,0,0,7.38150215148926,26.8400020599365,8.83000087738037,4.24999952316284
652,1981,1,5,-1.48854851722717,-3.32701802253723,-2.41017031669617,16.0122890472412,-9,0.538539111614227,0,0,3.90407824516296,0,0,0,0,7.49665307998657,22.5699996948242,8.97999954223633,3.58999967575073
652,1982,5,1,-1.47490704059601,-3.41428256034851,-2.3870542049408,16.0493602752686,-9,0.544685006141663,0,0,3.67983937263489,0,0,0,0,7.50439214706421,22.8799991607666,9.1899995803833,3.29000020027161
652,1983,1,5,-1.46101796627045,-3.63061046600342,-2.42928266525269,16.085319519043,-9,0.497421085834503,0,0,3.70724701881409,0,0,0,0,7.47022390365601,23.1999988555908,8.8100004196167,2.65000009536743
652,1984,1,1,-1.44774436950684,-3.63061046600342,-2.42928266525269,16.1213703155518,-9,0.424476712942123,0,0,3.61544990539551,0,0,0,0,7.43897199630737,23.5100002288818,8.8100004196167,2.65000009536743
652,1985,2,1,-1.43422496318817,-3.72970151901245,-2.4674596786499,16.1570301055908,-9,0.460739105939865,0,0,3.63743662834167,0,0,0,0,7.51152515411377,23.8299999237061,8.47999954223633,2.39999985694885
652,1986,0,2,-1.42129993438721,-3.78539037704468,-2.53830742835999,16.1814498901367,-9,0.489491015672684,0,0,3.5320520401001,0,0,0,0,7.5032901763916,24.1399993896484,7.89999961853027,2.26999998092651
652,1987,1,0,-1.50778424739838,-4.18646001815796,-2.79852199554443,16.2105808258057,-9,0.524350106716156,0,0,3.81793737411499,0,0,0,0,7.61332511901855,22.1399993896484,6.09000015258789,1.51999974250793
652,1988,2,1,-1.58377015590668,-4.53751134872437,-3.05973768234253,16.2436695098877,-9,0.53026670217514,0,0,3.77627420425415,0,0,0,0,7.77359390258789,20.5200004577637,4.6899995803833,1.07000017166138
652,1989,0,2,-1.46274352073669,-4.64599227905273,-2.99573230743408,16.2767200469971,-9,1.86677765846252,0,0,3.99613809585571,0,0,0,0,7.6662220954895,23.1599998474121,4.99999952316284,0.959999859333038
652,1990,0,0,-1.52096927165985,-4.69948101043701,-3.01389622688293,16.3100395202637,-9,0.537470281124115,0,0,4.03051805496216,0,0,0,0,7.70300817489624,21.8500003814697,4.90999984741211,0.909999847412109
652,1991,1,0,-1.47928726673126,-4.65646362304688,-3.03447318077087,16.3429298400879,-9,1.81476807594299,1,0,4.03387355804443,0,0,0,0,7.77317380905151,22.7799987792969,4.80999994277954,0.949999868869781
652,1992,1,1,-1.4662036895752,-4.67774105072021,-3.25450301170349,16.3753890991211,-9,1.66777336597443,0,0,4.15713167190552,0,0,0,0,7.89915418624878,23.0799999237061,3.8600001335144,0.929999828338623
652,1993,0,1,-1.49700248241425,-4.5469012260437,NA,16.4074306488037,-9,1.55550062656403,0,0,4.23075580596924,0,0,0,0,7.93272113800049,22.3800010681152,NA,1.06000006198883
652,1994,0,0,-1.50192975997925,-4.37405824661255,-3.03447294235229,16.4390392303467,-9,1.31840395927429,0,0,4.36251878738403,0,0,0,0,7.95156002044678,22.2700004577637,4.8100004196167,1.26000022888184
652,1995,0,0,-1.4380087852478,-4.19306039810181,-3.05973744392395,16.4702301025391,-9,1.29317724704742,0,0,4.23376703262329,0,0,0,0,8.00769996643066,23.7399997711182,4.69000053405762,1.51000022888184
663,1975,1,0,-1.35247278213501,-2.84558963775635,-2.33924913406372,14.4088401794434,-10,0.701169788837433,0,NA,NA,0,0,0,0,6.94312191009521,25.8600006103516,9.64000034332275,5.80999994277954
663,1976,1,1,-1.40608894824982,-3.05548238754272,NA,14.4448003768921,-10,0.747240602970123,0,NA,4.75550317764282,0,0,0,0,7.12689113616943,24.5100002288818,NA,4.70999956130981
663,1977,0,1,-1.32125604152679,-3.17008566856384,NA,14.4816102981567,-10,0.780625462532043,0,NA,4.77437114715576,0,0,0,0,7.1966872215271,26.6799983978271,NA,4.19999980926514
663,1978,0,0,-1.44434726238251,-3.31593751907349,NA,14.5191602706909,-10,0.773791015148163,0,NA,4.75027942657471,0,0,0,0,7.44483280181885,23.5900001525879,NA,3.62999987602234
663,1979,1,0,-1.45286166667938,-2.43041849136353,NA,14.5571203231812,-10,0.793806314468384,0,NA,4.80115938186646,0,0,0,0,7.60290098190308,23.3899993896484,NA,8.80000019073486
663,1980,1,1,-1.53665220737457,-2.89317560195923,-2.09313488006592,14.595290184021,-10,0.769210577011108,0,NA,4.8207106590271,0,0,0,0,7.84424114227295,21.5100002288818,12.3299999237061,5.54000043869019
663,1981,1,1,-1.38190400600433,-2.70605230331421,-2.13791847229004,14.6340799331665,-10,0.711340606212616,0,NA,4.94294452667236,0,0,0,0,7.89952516555786,25.1100006103516,11.789999961853,6.67999887466431
